epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.0348061084747315,0.27815,1.85867737531662,0.3411
2,1.7851962219238282,0.366825,1.7520910263061524,0.3802
3,1.6878326580047607,0.40535,1.695581066608429,0.4014
4,1.622622817993164,0.42995,1.6573645710945129,0.4183
5,1.5718616924285889,0.448875,1.630525290966034,0.4252
6,1.5294619647979737,0.466675,1.6055563807487487,0.4372
7,1.4926579481124878,0.479825,1.5896896719932556,0.4451
8,1.4593341360092162,0.49425,1.5755275726318358,0.45
9,1.4290299577713013,0.50345,1.557689106464386,0.4549
10,1.4010486358642578,0.51695,1.5454828262329101,0.4586
11,1.3743951545715332,0.52875,1.5343327283859254,0.465
12,1.3497460357666016,0.53585,1.5253620386123656,0.4642
13,1.3264238664627075,0.5451,1.5221844434738159,0.4646
14,1.3034615032196044,0.55425,1.5090133905410767,0.4727
15,1.2815273171424866,0.562175,1.501141107082367,0.4752
16,1.2604688276290894,0.571325,1.4951568007469178,0.478
17,1.2393233055114745,0.579725,1.4880881786346436,0.4793
18,1.2197741199493408,0.5882,1.4813378214836121,0.4811
19,1.200212978363037,0.59485,1.4773853182792664,0.4858
20,1.180472413635254,0.60275,1.4764784216880797,0.4861
21,1.162522039604187,0.607525,1.4689998865127563,0.4871
22,1.143854818058014,0.616075,1.4653866648674012,0.492
23,1.1246987352371216,0.622,1.4618512511253356,0.4929
24,1.1074741022109986,0.630825,1.4605443954467774,0.4943
25,1.0896674363136292,0.636625,1.4559717416763305,0.4943
26,1.0720413946151734,0.64355,1.455757248401642,0.496
27,1.0546266535758972,0.651075,1.4569993495941163,0.4958
28,1.0376682376861572,0.6599,1.455821192264557,0.4952
29,1.0208820071220397,0.66615,1.45209082365036,0.4965
30,1.0043076738357544,0.671125,1.4479201197624207,0.4986
31,0.9874472888946533,0.67865,1.4451765418052673,0.5011
32,0.9703846317291259,0.6845,1.4473294138908386,0.5016
33,0.9544442525863648,0.690475,1.447598969936371,0.5027
34,0.9386054064750672,0.696625,1.4517937183380127,0.5004
35,0.9221969110488891,0.702875,1.4495450258255005,0.504
36,0.9062131141662597,0.71005,1.4479851007461548,0.5029
37,0.8902462957382202,0.71585,1.4494798302650451,0.5043
38,0.8739818194389343,0.722875,1.4489359498023986,0.5042
39,0.8594491589546204,0.72725,1.4481179237365722,0.5077
40,0.8437353895187378,0.733,1.4540704607963562,0.5059
41,0.8278593402862549,0.7408,1.4498455047607421,0.5072
42,0.8124065093040467,0.748175,1.4597620844841004,0.505
43,0.7974511519908904,0.753475,1.460088837146759,0.5075
44,0.7824750314712524,0.757775,1.460342037677765,0.5085
45,0.7670847949504852,0.7646,1.4649566411972046,0.5092
46,0.7526474472999573,0.770575,1.4674751162528992,0.5097
47,0.7372355707168579,0.778225,1.4711051821708678,0.5092
48,0.7231652933597564,0.7835,1.4800799131393432,0.5036
49,0.7084810619354248,0.789675,1.4795488357543944,0.5076
50,0.6942730105400086,0.794075,1.480191445350647,0.5071
